prompt,completion
"Bhagavān Dāsa Gosvāmī, has gender, [mask]",male
"Bhagavān Dāsa Gosvāmī, has occupation, [mask]",teacher
"Merike Kaste, has gender, [mask]",female
"Merike Kaste, has occupation, [mask]",teacher
"Diane Averill, has gender, [mask]",female
"Diane Averill, has occupation, [mask]",teacher
"George Mikes, has gender, [mask]",male
"George Mikes, has occupation, [mask]",writer
"Jean-Joseph Boillot, has gender, [mask]",male
"Jean-Joseph Boillot, has occupation, [mask]",writer
"Mechtilde, has gender, [mask]",female
"Mechtilde, has occupation, [mask]",writer
"Elizabeth Charlotte of the Palatinate, Duchess of Orléans, has gender, [mask]",female
"Elizabeth Charlotte of the Palatinate, Duchess of Orléans, has occupation, [mask]",writer
