subject,relation,object
Ernst Dertmann,has gender,male
Ernst Dertmann,has occupation,assistant
Filip Skoumal,has gender,male
Filip Skoumal,has occupation,assistant
Paul von Aldringen,has gender,male
Paul von Aldringen,has occupation,assistant
Zuzana Rebcová,has gender,female
Zuzana Rebcová,has occupation,assistant
Maria Cristina Leal de Carvalho Viegas,has gender,female
Maria Cristina Leal de Carvalho Viegas,has occupation,assistant
Adar Abdulkadir,has gender,female
Adar Abdulkadir,has occupation,assistant
Jeanie Walker,has gender,female
Jeanie Walker,has occupation,assistant
Cecilia Gallik Kennedy,has gender,female
Cecilia Gallik Kennedy,has occupation,assistant
Louisa Irwin,has gender,female
Louisa Irwin,has occupation,assistant
Harriett Eliza MacKinlay,has gender,female
Harriett Eliza MacKinlay,has occupation,assistant
Zdeňka Chytilová,has gender,female
Zdeňka Chytilová,has occupation,assistant
Cristiane Denise Modolo Siqueira,has gender,female
Cristiane Denise Modolo Siqueira,has occupation,assistant
Paulette Ackermann,has gender,female
Paulette Ackermann,has occupation,assistant
Mary McKay Scott,has gender,female
Mary McKay Scott,has occupation,assistant
Adéla Dostálová,has gender,female
Adéla Dostálová,has occupation,assistant
Lucie Cejpek Blaštíková,has gender,female
Lucie Cejpek Blaštíková,has occupation,assistant
Dawn Black,has gender,female
Dawn Black,has occupation,assistant
Hansi Pollack,has gender,female
Hansi Pollack,has occupation,assistant
Maria Palester,has gender,female
Maria Palester,has occupation,assistant
Tirana Hassan,has gender,female
Tirana Hassan,has occupation,assistant
Q131599152,has gender,female
Q131599152,has occupation,assistant
Marie-France Lalonde,has gender,female
Marie-France Lalonde,has occupation,assistant
Lucia Kramárová,has gender,female
Lucia Kramárová,has occupation,assistant
Adrian Vaughan,has gender,male
Adrian Vaughan,has occupation,attendant
Bobby Calder,has gender,male
Bobby Calder,has occupation,attendant
Antonie Formanová,has gender,female
Antonie Formanová,has occupation,attendant
Monica Coghlan,has gender,female
Monica Coghlan,has occupation,attendant
Andreas Staribacher,has gender,male
Andreas Staribacher,has occupation,auditor
Werner Conrad,has gender,male
Werner Conrad,has occupation,auditor
Bjarke Vodder Nielsen,has gender,male
Bjarke Vodder Nielsen,has occupation,auditor
Carsten Ernst,has gender,male
Carsten Ernst,has occupation,auditor
Filip Tammelin,has gender,male
Filip Tammelin,has occupation,auditor
Ulrich Zürn,has gender,male
Ulrich Zürn,has occupation,auditor
Michel Côté,has gender,male
Michel Côté,has occupation,auditor
Ola Gustav Nordgaard,has gender,male
Ola Gustav Nordgaard,has occupation,auditor
Jacques Singer,has gender,male
Jacques Singer,has occupation,auditor
Randy Weeks,has gender,male
Randy Weeks,has occupation,auditor
Roman Pekala,has gender,male
Roman Pekala,has occupation,auditor
James Van Leuven Mensah,has gender,male
James Van Leuven Mensah,has occupation,auditor
Ján Lalka,has gender,male
Ján Lalka,has occupation,auditor
Alexander Hemmelrath,has gender,male
Alexander Hemmelrath,has occupation,auditor
Kai C. Andrejewski,has gender,male
Kai C. Andrejewski,has occupation,auditor
Karl Eicke,has gender,male
Karl Eicke,has occupation,auditor
Q135278328,has gender,male
Q135278328,has occupation,auditor
Renivaldo Alves do Nascimento,has gender,male
Renivaldo Alves do Nascimento,has occupation,auditor
Jan-Baptist De Feyter,has gender,male
Jan-Baptist De Feyter,has occupation,auditor
Q111738925,has gender,male
Q111738925,has occupation,auditor
Josephine Maltby,has gender,female
Josephine Maltby,has occupation,auditor
Joy Phumaphi,has gender,female
Joy Phumaphi,has occupation,auditor
Bergljot Brennvik,has gender,female
Bergljot Brennvik,has occupation,auditor
Melanie Krause,has gender,female
Melanie Krause,has occupation,auditor
Eva Kolstad,has gender,female
Eva Kolstad,has occupation,auditor
Marie Chantal Zaninka,has gender,female
Marie Chantal Zaninka,has occupation,auditor
Rebecca Mtekateka,has gender,female
Rebecca Mtekateka,has occupation,auditor
Emily Lansell,has gender,female
Emily Lansell,has occupation,auditor
Linoy Reich,has gender,female
Linoy Reich,has occupation,auditor
Ellen Tohvri,has gender,female
Ellen Tohvri,has occupation,auditor
Lee Hudman,has gender,female
Lee Hudman,has occupation,auditor
Lilia Chanysheva,has gender,female
Lilia Chanysheva,has occupation,auditor
Sue Gill,has gender,female
Sue Gill,has occupation,auditor
Yoo Jung-hyun,has gender,female
Yoo Jung-hyun,has occupation,auditor
Ana Frohmiller,has gender,female
Ana Frohmiller,has occupation,auditor
Elke König,has gender,female
Elke König,has occupation,auditor
Millycent Mashele,has gender,female
Millycent Mashele,has occupation,auditor
Ichechi Chinarhu Okonkwo,has gender,female
Ichechi Chinarhu Okonkwo,has occupation,auditor
Àngels Fitó Bertran,has gender,female
Àngels Fitó Bertran,has occupation,auditor
Romana Friedrichová,has gender,female
Romana Friedrichová,has occupation,auditor
Martin Coupaye,has gender,male
Martin Coupaye,has occupation,baker
Llorenç Birba i Cordomí,has gender,male
Llorenç Birba i Cordomí,has occupation,baker
Viateur Éthier,has gender,male
Viateur Éthier,has occupation,baker
Rahul Mandal,has gender,male
Rahul Mandal,has occupation,baker
Frank Klosterman,has gender,male
Frank Klosterman,has occupation,baker
Friedrich Hubert Esser,has gender,male
Friedrich Hubert Esser,has occupation,baker
Rasmus Hansen,has gender,male
Rasmus Hansen,has occupation,baker
Hans-Artur Bauckhage,has gender,male
Hans-Artur Bauckhage,has occupation,baker
Friedrich Wilhelm Eikmeier,has gender,male
Friedrich Wilhelm Eikmeier,has occupation,baker
Jean-Pierre Crouzet,has gender,male
Jean-Pierre Crouzet,has occupation,baker
Jan Noworolski,has gender,male
Jan Noworolski,has occupation,baker
Alphonse-Edgar Guillemette,has gender,male
Alphonse-Edgar Guillemette,has occupation,baker
Bruno Feldeisen,has gender,male
Bruno Feldeisen,has occupation,baker
Claude Hodel,has gender,male
Claude Hodel,has occupation,baker
Ferdinand Heinrich Paur,has gender,male
Ferdinand Heinrich Paur,has occupation,baker
Pierre Lacam,has gender,male
Pierre Lacam,has occupation,baker
Heinrich Goltermann,has gender,male
Heinrich Goltermann,has occupation,baker
Colin Pitchfork,has gender,male
Colin Pitchfork,has occupation,baker
Remigio Venturoli,has gender,male
Remigio Venturoli,has occupation,baker
Johannes Steinbeis,has gender,male
Johannes Steinbeis,has occupation,baker
Maria Anna Zauner,has gender,female
Maria Anna Zauner,has occupation,baker
Melissa Chou,has gender,female
Melissa Chou,has occupation,baker
Belinda Leong,has gender,female
Belinda Leong,has occupation,baker
Marithé de Alvarado,has gender,female
Marithé de Alvarado,has occupation,baker
Noa Cochva,has gender,female
Noa Cochva,has occupation,baker
Ibrahim Aicha Karimoune,has gender,female
Ibrahim Aicha Karimoune,has occupation,baker
Judith Erdin,has gender,female
Judith Erdin,has occupation,baker
Aslinur Yalinkilic,has gender,female
Aslinur Yalinkilic,has occupation,baker
Barbara Okereke,has gender,female
Barbara Okereke,has occupation,baker
Józefa Stalkowska,has gender,female
Józefa Stalkowska,has occupation,baker
Agnès Bertrand,has gender,female
Agnès Bertrand,has occupation,baker
Melissa Forti,has gender,female
Melissa Forti,has occupation,baker
Anna Mae Wagler,has gender,female
Anna Mae Wagler,has occupation,baker
Claire Heitzler,has gender,female
Claire Heitzler,has occupation,baker
Jeanne-Gabrielle Bonnefont,has gender,female
Jeanne-Gabrielle Bonnefont,has occupation,baker
Jessica Préalpato,has gender,female
Jessica Préalpato,has occupation,baker
Paola Velez,has gender,female
Paola Velez,has occupation,baker
Christelle Brua,has gender,female
Christelle Brua,has occupation,baker
Barbora Gorecká,has gender,female
Barbora Gorecká,has occupation,baker
Paul Manauthon,has gender,male
Paul Manauthon,has occupation,carpenter
Willm Rolf Meyer,has gender,male
Willm Rolf Meyer,has occupation,carpenter
Christian David,has gender,male
Christian David,has occupation,carpenter
John Morgan Jones,has gender,male
John Morgan Jones,has occupation,carpenter
David Grinbaum,has gender,male
David Grinbaum,has occupation,carpenter
Simon Mee,has gender,male
Simon Mee,has occupation,carpenter
August Kapell,has gender,male
August Kapell,has occupation,carpenter
Q23943541,has gender,male
Q23943541,has occupation,carpenter
Leopold Kaufmann,has gender,male
Leopold Kaufmann,has occupation,carpenter
Johann Georg Hasler,has gender,male
Johann Georg Hasler,has occupation,carpenter
Gerardo Rodríguez Fernández,has gender,male
Gerardo Rodríguez Fernández,has occupation,carpenter
Jörg Spatzier,has gender,male
Jörg Spatzier,has occupation,carpenter
Hone Taiapa,has gender,male
Hone Taiapa,has occupation,carpenter
Julius Feldstein,has gender,male
Julius Feldstein,has occupation,carpenter
Pieter Noorwits,has gender,male
Pieter Noorwits,has occupation,carpenter
Hugorinus Kijne,has gender,male
Hugorinus Kijne,has occupation,carpenter
Modesto Freire Fernández,has gender,male
Modesto Freire Fernández,has occupation,carpenter
August Schachtebeck,has gender,male
August Schachtebeck,has occupation,carpenter
Ron Weighell,has gender,male
Ron Weighell,has occupation,carpenter
Alvin T. Smith,has gender,male
Alvin T. Smith,has occupation,carpenter
Khana Feinbukh,has gender,female
Khana Feinbukh,has occupation,carpenter
Trina Gulliver,has gender,female
Trina Gulliver,has occupation,carpenter
May Clark,has gender,female
May Clark,has occupation,carpenter
Sandra Lovelace Nicholas,has gender,female
Sandra Lovelace Nicholas,has occupation,carpenter
Mathilde Imer,has gender,female
Mathilde Imer,has occupation,carpenter
Ulrika Holmer,has gender,female
Ulrika Holmer,has occupation,carpenter
Pete Joyce,has gender,female
Pete Joyce,has occupation,carpenter
Yoshie Kongō,has gender,female
Yoshie Kongō,has occupation,carpenter
Yura,has gender,female
Yura,has occupation,carpenter
Erna Perlman,has gender,female
Erna Perlman,has occupation,carpenter
Amy Devers,has gender,female
Amy Devers,has occupation,carpenter
Sarina Hitz,has gender,female
Sarina Hitz,has occupation,carpenter
Kate Braid,has gender,female
Kate Braid,has occupation,carpenter
Joanna Gruzlewska,has gender,female
Joanna Gruzlewska,has occupation,carpenter
Aster Plotnik,has gender,female
Aster Plotnik,has occupation,carpenter
Melanie Woods,has gender,female
Melanie Woods,has occupation,carpenter
Judith Hoch Wray,has gender,female
Judith Hoch Wray,has occupation,carpenter
Luba Dudzik,has gender,female
Luba Dudzik,has occupation,carpenter
Michał Stawowy,has gender,female
Michał Stawowy,has occupation,carpenter
Anita Bach,has gender,female
Anita Bach,has occupation,carpenter
Johann Gottlieb Zenker,has gender,male
Johann Gottlieb Zenker,has occupation,cashier
Kei Ogura,has gender,male
Kei Ogura,has occupation,cashier
Hirotaka Ishihara,has gender,male
Hirotaka Ishihara,has occupation,cashier
Richárd Horinka,has gender,male
Richárd Horinka,has occupation,cashier
Takeshi Ōnishi,has gender,male
Takeshi Ōnishi,has occupation,cashier
Otto Kotouč,has gender,male
Otto Kotouč,has occupation,cashier
Johann Joachim Ludwig Wenck,has gender,male
Johann Joachim Ludwig Wenck,has occupation,cashier
Mauritz Cuno,has gender,male
Mauritz Cuno,has occupation,cashier
Mathias Gullia,has gender,male
Mathias Gullia,has occupation,cashier
John Abbot,has gender,male
John Abbot,has occupation,cashier
Pedro Bernardo Orcasitas,has gender,male
Pedro Bernardo Orcasitas,has occupation,cashier
Antonín Šrut,has gender,male
Antonín Šrut,has occupation,cashier
Domenico Lalli,has gender,male
Domenico Lalli,has occupation,cashier
Yoshihiro Seki,has gender,male
Yoshihiro Seki,has occupation,cashier
Yōichi Shiraishi,has gender,male
Yōichi Shiraishi,has occupation,cashier
John Burton,has gender,male
John Burton,has occupation,cashier
Júlio Rodrigues,has gender,male
Júlio Rodrigues,has occupation,cashier
Didier Pilon,has gender,male
Didier Pilon,has occupation,cashier
James Forman Jr.,has gender,male
James Forman Jr.,has occupation,cashier
Alois Čermák,has gender,male
Alois Čermák,has occupation,cashier
Marie A. Detrick,has gender,female
Marie A. Detrick,has occupation,cashier
Clara Almánzar,has gender,female
Clara Almánzar,has occupation,cashier
Clémence Roy,has gender,female
Clémence Roy,has occupation,cashier
Katharina Peters,has gender,female
Katharina Peters,has occupation,cashier
Anna Berggren,has gender,female
Anna Berggren,has occupation,cashier
Yukari Kondō,has gender,female
Yukari Kondō,has occupation,cashier
Hilda Malm,has gender,female
Hilda Malm,has occupation,cashier
Anna Ronnebäck,has gender,female
Anna Ronnebäck,has occupation,cashier
Talita Isabel Soares,has gender,female
Talita Isabel Soares,has occupation,cashier
Lilian Roques Silva Felipe,has gender,female
Lilian Roques Silva Felipe,has occupation,cashier
Jessica Robbin,has gender,female
Jessica Robbin,has occupation,cashier
Anna Natalia,has gender,female
Anna Natalia,has occupation,cashier
Frederika Santing,has gender,female
Frederika Santing,has occupation,cashier
Kai Wargalla,has gender,female
Kai Wargalla,has occupation,cashier
Deborah Ebony Chung,has gender,female
Deborah Ebony Chung,has occupation,cashier
Caroline Radzik,has gender,female
Caroline Radzik,has occupation,cashier
Hannah Wolker,has gender,female
Hannah Wolker,has occupation,cashier
Märta Öberg,has gender,female
Märta Öberg,has occupation,cashier
Mayumi Ishino,has gender,female
Mayumi Ishino,has occupation,cashier
HAchubby,has gender,female
HAchubby,has occupation,cashier
Amir Ashkenazi,has gender,male
Amir Ashkenazi,has occupation,ceo
Peter Njonjo,has gender,male
Peter Njonjo,has occupation,ceo
Dukagjin Lipa,has gender,male
Dukagjin Lipa,has occupation,ceo
Emanuel Sharon,has gender,male
Emanuel Sharon,has occupation,ceo
Thomas Dohmke,has gender,male
Thomas Dohmke,has occupation,ceo
Pascal Isoard-Thomas,has gender,male
Pascal Isoard-Thomas,has occupation,ceo
Simon Segars,has gender,male
Simon Segars,has occupation,ceo
Q135160153,has gender,male
Q135160153,has occupation,ceo
V. Salminen,has gender,male
V. Salminen,has occupation,ceo
Marcus Leaver,has gender,male
Marcus Leaver,has occupation,ceo
Siegfried Wolf,has gender,male
Siegfried Wolf,has occupation,ceo
David Musto,has gender,male
David Musto,has occupation,ceo
Christian Klein,has gender,male
Christian Klein,has occupation,ceo
James Earl Rudder,has gender,male
James Earl Rudder,has occupation,ceo
Eric Haddad,has gender,male
Eric Haddad,has occupation,ceo
Ezekiel Stone Wiggins,has gender,male
Ezekiel Stone Wiggins,has occupation,ceo
Andrew Curtis,has gender,male
Andrew Curtis,has occupation,ceo
Neville Purvis,has gender,male
Neville Purvis,has occupation,ceo
Ian Ayre,has gender,male
Ian Ayre,has occupation,ceo
Jay Blazek Crossley,has gender,male
Jay Blazek Crossley,has occupation,ceo
Ravit Barniv,has gender,female
Ravit Barniv,has occupation,ceo
Jeanette Aaen,has gender,female
Jeanette Aaen,has occupation,ceo
Birgitta Forsström,has gender,female
Birgitta Forsström,has occupation,ceo
Heike Wiehle-Timm,has gender,female
Heike Wiehle-Timm,has occupation,ceo
Wendy Holman,has gender,female
Wendy Holman,has occupation,ceo
Desirée Bollier,has gender,female
Desirée Bollier,has occupation,ceo
Chantal-Line Carpentier,has gender,female
Chantal-Line Carpentier,has occupation,ceo
Carys Roberts,has gender,female
Carys Roberts,has occupation,ceo
Linda Obi,has gender,female
Linda Obi,has occupation,ceo
Galia Albin,has gender,female
Galia Albin,has occupation,ceo
Irja Salmela,has gender,female
Irja Salmela,has occupation,ceo
Néné Maïga,has gender,female
Néné Maïga,has occupation,ceo
Shari Steele,has gender,female
Shari Steele,has occupation,ceo
Pauline Philip,has gender,female
Pauline Philip,has occupation,ceo
Angela Ndambuki,has gender,female
Angela Ndambuki,has occupation,ceo
Shirley Hoy,has gender,female
Shirley Hoy,has occupation,ceo
Olivia Blaylock,has gender,female
Olivia Blaylock,has occupation,ceo
Marlene Tromp,has gender,female
Marlene Tromp,has occupation,ceo
Pauliina Mäkelä,has gender,female
Pauliina Mäkelä,has occupation,ceo
Thato Schermer,has gender,female
Thato Schermer,has occupation,ceo
Ronnie Woo Woo,has gender,male
Ronnie Woo Woo,has occupation,cleaner
Nilton Donizeti da Silva,has gender,male
Nilton Donizeti da Silva,has occupation,cleaner
Jürgen Herzing,has gender,male
Jürgen Herzing,has occupation,cleaner
Bert Brown,has gender,male
Bert Brown,has occupation,cleaner
Watty Borthwick,has gender,male
Watty Borthwick,has occupation,cleaner
Andy Burton,has gender,male
Andy Burton,has occupation,cleaner
Thomas Weber,has gender,male
Thomas Weber,has occupation,cleaner
Alfons Bierdimpfl,has gender,male
Alfons Bierdimpfl,has occupation,cleaner
Friedrich Zimpelmann,has gender,male
Friedrich Zimpelmann,has occupation,cleaner
Joseph Arend,has gender,male
Joseph Arend,has occupation,cleaner
Albert Edward Turpin,has gender,male
Albert Edward Turpin,has occupation,cleaner
Seu Zé,has gender,male
Seu Zé,has occupation,cleaner
Q125876236,has gender,male
Q125876236,has occupation,cleaner
Evan Price,has gender,male
Evan Price,has occupation,cleaner
Trygve Lundgreen,has gender,male
Trygve Lundgreen,has occupation,cleaner
Carl Joseph Weiser,has gender,male
Carl Joseph Weiser,has occupation,cleaner
Maximilian Mohr,has gender,male
Maximilian Mohr,has occupation,cleaner
George Pool Ballard,has gender,male
George Pool Ballard,has occupation,cleaner
Wolfgang Schindele,has gender,male
Wolfgang Schindele,has occupation,cleaner
Hermann Schöpf,has gender,male
Hermann Schöpf,has occupation,cleaner
Frieda Mager,has gender,female
Frieda Mager,has occupation,cleaner
Victoria Hughes,has gender,female
Victoria Hughes,has occupation,cleaner
Wanda Sarna,has gender,female
Wanda Sarna,has occupation,cleaner
Susanne Neumann,has gender,female
Susanne Neumann,has occupation,cleaner
Émilie Trélin,has gender,female
Émilie Trélin,has occupation,cleaner
Yevdokia Nos,has gender,female
Yevdokia Nos,has occupation,cleaner
Magdalena Miedziejewska,has gender,female
Magdalena Miedziejewska,has occupation,cleaner
Olga Kozłowska,has gender,female
Olga Kozłowska,has occupation,cleaner
Maria Stein,has gender,female
Maria Stein,has occupation,cleaner
Q123747492,has gender,female
Q123747492,has occupation,cleaner
Svetlana Krivonogikh,has gender,female
Svetlana Krivonogikh,has occupation,cleaner
Betty Hickstein,has gender,female
Betty Hickstein,has occupation,cleaner
Arantxa Orbegozo,has gender,female
Arantxa Orbegozo,has occupation,cleaner
Kim Woodburn,has gender,female
Kim Woodburn,has occupation,cleaner
Teresa Roca,has gender,female
Teresa Roca,has occupation,cleaner
Júlia Tury,has gender,female
Júlia Tury,has occupation,cleaner
Margarete Kennecke,has gender,female
Margarete Kennecke,has occupation,cleaner
Christel Jankowsky,has gender,female
Christel Jankowsky,has occupation,cleaner
Auri Kananen,has gender,female
Auri Kananen,has occupation,cleaner
Mária Magori,has gender,female
Mária Magori,has occupation,cleaner
Cheta Nwanze,has gender,male
Cheta Nwanze,has occupation,clerk
Cradock Newton,has gender,male
Cradock Newton,has occupation,clerk
Vittorio Bargioni,has gender,male
Vittorio Bargioni,has occupation,clerk
Takanori Sakata,has gender,male
Takanori Sakata,has occupation,clerk
Michael Joseph Schultes,has gender,male
Michael Joseph Schultes,has occupation,clerk
Yaakov Paskovitz,has gender,male
Yaakov Paskovitz,has occupation,clerk
Imre Csengery,has gender,male
Imre Csengery,has occupation,clerk
Sándor Újfalussy,has gender,male
Sándor Újfalussy,has occupation,clerk
Foster Awintiti Akugri,has gender,male
Foster Awintiti Akugri,has occupation,clerk
José Nelson Cándido Santos Argibay,has gender,male
José Nelson Cándido Santos Argibay,has occupation,clerk
Francisco Mazariegos Martínez,has gender,male
Francisco Mazariegos Martínez,has occupation,clerk
"Stephen Mack, Jr.",has gender,male
"Stephen Mack, Jr.",has occupation,clerk
Johannes Martin Reich,has gender,male
Johannes Martin Reich,has occupation,clerk
Juan María Atutxa Mendiola,has gender,male
Juan María Atutxa Mendiola,has occupation,clerk
Bedřich Bohumil Černík,has gender,male
Bedřich Bohumil Černík,has occupation,clerk
Ferdinand Pavlíček,has gender,male
Ferdinand Pavlíček,has occupation,clerk
E. Pirazzoli,has gender,male
E. Pirazzoli,has occupation,clerk
Masatora Kawano,has gender,male
Masatora Kawano,has occupation,clerk
Willem van Wijk,has gender,male
Willem van Wijk,has occupation,clerk
Frederik Koch,has gender,male
Frederik Koch,has occupation,clerk
Pasha Leberfeld,has gender,female
Pasha Leberfeld,has occupation,clerk
Solimar Silva,has gender,female
Solimar Silva,has occupation,clerk
Maria Hosp,has gender,female
Maria Hosp,has occupation,clerk
Q133816775,has gender,female
Q133816775,has occupation,clerk
Dagmar Chidolue,has gender,female
Dagmar Chidolue,has occupation,clerk
Sabine Arndt,has gender,female
Sabine Arndt,has occupation,clerk
Janina Stankiewicz,has gender,female
Janina Stankiewicz,has occupation,clerk
Elizabeth Esty,has gender,female
Elizabeth Esty,has occupation,clerk
Mária Horváth,has gender,female
Mária Horváth,has occupation,clerk
Khana Perlman,has gender,female
Khana Perlman,has occupation,clerk
Dora Wagner,has gender,female
Dora Wagner,has occupation,clerk
Lili Vogel,has gender,female
Lili Vogel,has occupation,clerk
Elisabeth Rönnholm,has gender,female
Elisabeth Rönnholm,has occupation,clerk
Lotte Blum,has gender,female
Lotte Blum,has occupation,clerk
Irmgard Grotjahn,has gender,female
Irmgard Grotjahn,has occupation,clerk
Luz Adriana E. Caudillo Fuentes,has gender,female
Luz Adriana E. Caudillo Fuentes,has occupation,clerk
Petra Allende,has gender,female
Petra Allende,has occupation,clerk
Terri Schiavo,has gender,female
Terri Schiavo,has occupation,clerk
Rozsi Wottitz,has gender,female
Rozsi Wottitz,has occupation,clerk
Maria Krollmann,has gender,female
Maria Krollmann,has occupation,clerk
Jaroslav Kovář starší,has gender,male
Jaroslav Kovář starší,has occupation,construction_worker
John Parry,has gender,male
John Parry,has occupation,construction_worker
Axel Schultz-Gora,has gender,male
Axel Schultz-Gora,has occupation,construction_worker
Bodo Küttler,has gender,male
Bodo Küttler,has occupation,construction_worker
Peter Robert Whitfield Sr.,has gender,male
Peter Robert Whitfield Sr.,has occupation,construction_worker
Hans Locher,has gender,male
Hans Locher,has occupation,construction_worker
Devanir Martins,has gender,male
Devanir Martins,has occupation,construction_worker
Johann Gottlob Brendel,has gender,male
Johann Gottlob Brendel,has occupation,construction_worker
Jan Claesz Visscher,has gender,male
Jan Claesz Visscher,has occupation,construction_worker
Johan Henrich Reiff,has gender,male
Johan Henrich Reiff,has occupation,construction_worker
Melchior Trost,has gender,male
Melchior Trost,has occupation,construction_worker
Ernst-Alfred Stamm,has gender,male
Ernst-Alfred Stamm,has occupation,construction_worker
Paul Buchner,has gender,male
Paul Buchner,has occupation,construction_worker
Christian August Hahnemann,has gender,male
Christian August Hahnemann,has occupation,construction_worker
Jean Javelaud,has gender,male
Jean Javelaud,has occupation,construction_worker
Arve Mjømen,has gender,male
Arve Mjømen,has occupation,construction_worker
Peter Artz,has gender,male
Peter Artz,has occupation,construction_worker
Javier Costas Comesaña,has gender,male
Javier Costas Comesaña,has occupation,construction_worker
Johann Friedrich d. Ä. Rosenzweig,has gender,male
Johann Friedrich d. Ä. Rosenzweig,has occupation,construction_worker
Antoni Blanch i Oliva,has gender,male
Antoni Blanch i Oliva,has occupation,construction_worker
Ember,has gender,female
Ember,has occupation,construction_worker
Sunita Devi,has gender,female
Sunita Devi,has occupation,construction_worker
Kalavati Devi,has gender,female
Kalavati Devi,has occupation,construction_worker
Q21451773,has gender,female
Q21451773,has occupation,construction_worker
Delfina Gómez Álvarez,has gender,female
Delfina Gómez Álvarez,has occupation,construction_worker
Amy Wynn Pastor,has gender,female
Amy Wynn Pastor,has occupation,construction_worker
Q65198787,has gender,female
Q65198787,has occupation,construction_worker
Lyudmila Yanukovych,has gender,female
Lyudmila Yanukovych,has occupation,construction_worker
Q28665144,has gender,female
Q28665144,has occupation,construction_worker
Q4254460,has gender,female
Q4254460,has occupation,construction_worker
Q88049533,has gender,female
Q88049533,has occupation,construction_worker
Q93584229,has gender,female
Q93584229,has occupation,construction_worker
Edith Kent,has gender,female
