subject,relation,object
Stefano Buffagni,has occupation,accountant
Grace Kavuma,has gender,male
Grace Kavuma,has occupation,accountant
Paul L. Kester,has gender,male
Paul L. Kester,has occupation,accountant
Stennett H. Brooks,has gender,male
Stennett H. Brooks,has occupation,accountant
Gundakar de Liechtenstein,has gender,male
Gundakar de Liechtenstein,has occupation,accountant
Frank Crean,has gender,male
Frank Crean,has occupation,accountant
Bob Couch,has gender,male
Bob Couch,has occupation,accountant
Hendrik Leendert Heijkoop,has gender,male
Hendrik Leendert Heijkoop,has occupation,accountant
David Lockwood,has gender,male
David Lockwood,has occupation,accountant
Emmanuel Dubourg,has gender,male
Emmanuel Dubourg,has occupation,accountant
Aroldo Nazareno Rodrigues de Lima,has gender,male
Aroldo Nazareno Rodrigues de Lima,has occupation,accountant
Frank H. Gloyd,has gender,male
Frank H. Gloyd,has occupation,accountant
Václav Štědronský,has gender,male
Václav Štědronský,has occupation,accountant
Moermahadi Soerja Djanegara,has gender,male
Moermahadi Soerja Djanegara,has occupation,accountant
Robin Fieth,has gender,male
Robin Fieth,has occupation,accountant
Joseph Kwasi Mensah,has gender,male
Joseph Kwasi Mensah,has occupation,accountant
Karel Kareis,has gender,male
Karel Kareis,has occupation,accountant
Alexander Hemmelrath,has gender,male
Alexander Hemmelrath,has occupation,accountant
Kennedy Kwasi Kankam,has gender,male
Kennedy Kwasi Kankam,has occupation,accountant
David Tyler,has gender,male
David Tyler,has occupation,accountant
Adolf Pöthig,has gender,male
Adolf Pöthig,has occupation,accountant
Steven Timmis,has gender,male
Steven Timmis,has occupation,accountant
Joseph O'Carroll,has gender,male
Joseph O'Carroll,has occupation,accountant
Paul F. Grady,has gender,male
Paul F. Grady,has occupation,accountant
Emilio  Betanzo Ortega,has gender,male
Emilio  Betanzo Ortega,has occupation,accountant
Samuel Hendrik Serné,has gender,male
Samuel Hendrik Serné,has occupation,accountant
John C. Waymouth,has gender,male
John C. Waymouth,has occupation,accountant
Christian Zwirner,has gender,male
Christian Zwirner,has occupation,accountant
Claude Tessier,has gender,male
Claude Tessier,has occupation,accountant
Miguel Cotrina Reyes,has gender,male
Miguel Cotrina Reyes,has occupation,accountant
Elmer E. Rasmuson,has gender,male
Elmer E. Rasmuson,has occupation,accountant
Joilson da Cruz Rosa,has gender,male
Joilson da Cruz Rosa,has occupation,accountant
Dmitry Bogdan,has gender,male
Dmitry Bogdan,has occupation,accountant
Percy Ludgate,has gender,male
Percy Ludgate,has occupation,accountant
Jean Boeva,has gender,male
Jean Boeva,has occupation,accountant
Paul Hax,has gender,male
Paul Hax,has occupation,accountant
Michael Sharpe,has gender,male
Michael Sharpe,has occupation,accountant
Barry Moore,has gender,male
Barry Moore,has occupation,accountant
Sōta Misumi,has gender,male
Sōta Misumi,has occupation,accountant
Alexander Dewar,has gender,male
Alexander Dewar,has occupation,accountant
Takahashi Korekiyo,has gender,male
Takahashi Korekiyo,has occupation,accountant
Arturo Mondovi,has gender,male
Arturo Mondovi,has occupation,accountant
Lavington Glyde,has gender,male
Lavington Glyde,has occupation,accountant
Facundo David Castelli,has gender,male
Facundo David Castelli,has occupation,accountant
Carl Gustaf Carlsson,has gender,male
Carl Gustaf Carlsson,has occupation,accountant
Claude Bez,has gender,male
Claude Bez,has occupation,accountant
Hans Dijkstra,has gender,male
Hans Dijkstra,has occupation,accountant
Josef Pavelka,has gender,male
Josef Pavelka,has occupation,accountant
Ilkka Salmi,has gender,male
Ilkka Salmi,has occupation,accountant
Ibrahim Saba,has gender,male
Ibrahim Saba,has occupation,accountant
Carl Frederik Simony,has gender,male
Carl Frederik Simony,has occupation,accountant
Arthur Bettez,has gender,male
Arthur Bettez,has occupation,accountant
Răzvan Penescu,has gender,male
Răzvan Penescu,has occupation,accountant
Ewald Geißler,has gender,male
Ewald Geißler,has occupation,accountant
Geoff Shaw,has gender,male
Geoff Shaw,has occupation,accountant
Kazuhide Kōno,has gender,male
Kazuhide Kōno,has occupation,accountant
Gift Chiyalika,has gender,male
Gift Chiyalika,has occupation,accountant
Lawrence Robson,has gender,male
Lawrence Robson,has occupation,accountant
Percival William Harvey (1878-1962),has gender,male
Percival William Harvey (1878-1962),has occupation,accountant
Ernest Puget,has gender,male
Ernest Puget,has occupation,accountant
Hans Henrich Herforth,has gender,male
Hans Henrich Herforth,has occupation,accountant
Benjamin Yeboah Sekyere,has gender,male
Benjamin Yeboah Sekyere,has occupation,accountant
Sieglinde Hansen,has gender,female
Sieglinde Hansen,has occupation,accountant
Kjerstin Wøyen Funderud,has gender,female
Kjerstin Wøyen Funderud,has occupation,accountant
Noemí de la Calle Sifré,has gender,female
Noemí de la Calle Sifré,has occupation,accountant
Sola Adesakin,has gender,female
Sola Adesakin,has occupation,accountant
Amy Thomson,has gender,female
Amy Thomson,has occupation,accountant
Wendy Preston,has gender,female
Wendy Preston,has occupation,accountant
Elohor Aiboni,has gender,female
Elohor Aiboni,has occupation,accountant
Rafika Yuniasih,has gender,female
Rafika Yuniasih,has occupation,accountant
Alena Zikmundová,has gender,female
Alena Zikmundová,has occupation,accountant
Márta Kelemen,has gender,female
Márta Kelemen,has occupation,accountant
Q100554161,has gender,female
Q100554161,has occupation,accountant
Toyin Olakunri,has gender,female
Toyin Olakunri,has occupation,accountant
Lynn Jenkins,has gender,female
Lynn Jenkins,has occupation,accountant
Ling Young,has gender,female
Ling Young,has occupation,accountant
Bertha Leonor Wong Figueroa,has gender,female
Bertha Leonor Wong Figueroa,has occupation,accountant
Julianne Mweheire,has gender,female
Julianne Mweheire,has occupation,accountant
Jean Gordon,has gender,female
Jean Gordon,has occupation,accountant
Katharina B. Gross,has gender,female
Katharina B. Gross,has occupation,accountant
Ayo Amusan,has gender,female
Ayo Amusan,has occupation,accountant
Kate,has gender,female
Kate,has occupation,accountant
Nathalie Mpaka,has gender,female
Nathalie Mpaka,has occupation,accountant
Herta Gräf,has gender,female
Herta Gräf,has occupation,accountant
Tracie Miller-Nobles,has gender,female
Tracie Miller-Nobles,has occupation,accountant
Hiroko Kaneko,has gender,female
Hiroko Kaneko,has occupation,accountant
Jennie Palen,has gender,female
Jennie Palen,has occupation,accountant
Dianne Hiles,has gender,female
Dianne Hiles,has occupation,accountant
Rosy McMichael,has gender,female
Rosy McMichael,has occupation,accountant
Smadar Barber Tzadik,has gender,female
Smadar Barber Tzadik,has occupation,accountant
Annalisa Nilsson,has gender,female
Annalisa Nilsson,has occupation,accountant
Betty Plant,has gender,female
Betty Plant,has occupation,accountant
Q136375131,has gender,female
Q136375131,has occupation,accountant
Trinitat Neras Plaja,has gender,female
Trinitat Neras Plaja,has occupation,accountant
Cynthia Cooper,has gender,female
Cynthia Cooper,has occupation,accountant
Dianna Graves,has gender,female
Dianna Graves,has occupation,accountant
Alison Mary Timms,has gender,female
Alison Mary Timms,has occupation,accountant
Rawan bint Najeeb Tawfiqi,has gender,female
Rawan bint Najeeb Tawfiqi,has occupation,accountant
Inuwa Yakubu Shalangwa,has gender,male
Inuwa Yakubu Shalangwa,has occupation,analyst
Yahaya Andrew Haruna,has gender,male
Yahaya Andrew Haruna,has occupation,analyst
Ibrahim Misbahu Bala,has gender,male
Ibrahim Misbahu Bala,has occupation,analyst
Mohammed Mansur Ibrahim,has gender,male
Mohammed Mansur Ibrahim,has occupation,analyst
Shu'aibu Ikra Umar,has gender,male
Shu'aibu Ikra Umar,has occupation,analyst
Sabiu Mohammed,has gender,male
Sabiu Mohammed,has occupation,analyst
Ana Ayuso Pozo,has gender,female
Ana Ayuso Pozo,has occupation,analyst
Kareem Haji,has gender,male
Kareem Haji,has occupation,assistant
Frank Cameron,has gender,male
Frank Cameron,has occupation,assistant
Stephan Eschler,has gender,male
Stephan Eschler,has occupation,assistant
Ferdinand Jolly,has gender,male
Ferdinand Jolly,has occupation,assistant
Patrick van Rensburg,has gender,male
Patrick van Rensburg,has occupation,assistant
Erik de Vries,has gender,male
Erik de Vries,has occupation,assistant
Michael Silkeit,has gender,male
Michael Silkeit,has occupation,assistant
Syed Mosharaf Hossain,has gender,male
Syed Mosharaf Hossain,has occupation,assistant
Carl Alfred Schmid,has gender,male
Carl Alfred Schmid,has occupation,assistant
Anthony Pareja Menacho,has gender,male
Anthony Pareja Menacho,has occupation,assistant
Siddavanahalli Krishna Sarma,has gender,male
Siddavanahalli Krishna Sarma,has occupation,assistant
Ghulam Akbar Khan Niazi,has gender,male
Ghulam Akbar Khan Niazi,has occupation,assistant
Israel Näslund I,has gender,male
Israel Näslund I,has occupation,assistant
Jan Šmída,has gender,male
Jan Šmída,has occupation,assistant
Carl Weiß,has gender,male
Carl Weiß,has occupation,assistant
Marcos Reis Macedo Ramos,has gender,male
Marcos Reis Macedo Ramos,has occupation,assistant
Magnus Andersson i Gripenberg,has gender,male
Magnus Andersson i Gripenberg,has occupation,assistant
Lalit Pande,has gender,male
Lalit Pande,has occupation,assistant
Larry Constantine,has gender,male
Larry Constantine,has occupation,assistant
Kevin Roy,has gender,male
Kevin Roy,has occupation,assistant
Shalom Simchon,has gender,male
Shalom Simchon,has occupation,assistant
Badri Prasad Bajoria,has gender,male
Badri Prasad Bajoria,has occupation,assistant
Heinrich Everwein,has gender,male
Heinrich Everwein,has occupation,assistant
Andy Mantell,has gender,male
Andy Mantell,has occupation,assistant
John Pentland,has gender,male
John Pentland,has occupation,assistant
Karimul Haque,has gender,male
Karimul Haque,has occupation,assistant
Niranjan Pranshankar Pandya,has gender,male
Niranjan Pranshankar Pandya,has occupation,assistant
Ivar Nordlund,has gender,male
Ivar Nordlund,has occupation,assistant
Hanumappa Sudarshan,has gender,male
Hanumappa Sudarshan,has occupation,assistant
Adilson Tiburcio da Silva,has gender,male
Adilson Tiburcio da Silva,has occupation,assistant
Mahesh Raut,has gender,male
Mahesh Raut,has occupation,assistant
David Havel,has gender,male
David Havel,has occupation,assistant
Samuel Edger,has gender,male
Samuel Edger,has occupation,assistant
Josh van Soer,has gender,male
Josh van Soer,has occupation,assistant
Werner Lottmann,has gender,male
Werner Lottmann,has occupation,assistant
Phil Carradice,has gender,male
Phil Carradice,has occupation,assistant
Simon Teasdale,has gender,male
Simon Teasdale,has occupation,assistant
Navakana Shankaranarayana Bhat,has gender,male
Navakana Shankaranarayana Bhat,has occupation,assistant
David Epston,has gender,male
David Epston,has occupation,assistant
Forrester Blanchard Washington,has gender,male
Forrester Blanchard Washington,has occupation,assistant
Daniel Paillé,has gender,male
Daniel Paillé,has occupation,assistant
Hermann,has gender,male
Hermann,has occupation,assistant
Paulus Huthenne,has gender,male
Paulus Huthenne,has occupation,assistant
Siegfried Enns,has gender,male
Siegfried Enns,has occupation,assistant
Kisan Mehta,has gender,male
Kisan Mehta,has occupation,assistant
Neithard Kuhrke,has gender,male
Neithard Kuhrke,has occupation,assistant
Heinrich Jonghen,has gender,male
Heinrich Jonghen,has occupation,assistant
Christophe Jeauffroy,has gender,male
Christophe Jeauffroy,has occupation,assistant
Alan Keith-Lucas,has gender,male
Alan Keith-Lucas,has occupation,assistant
Loris Spina,has gender,male
Loris Spina,has occupation,assistant
Gunasekaran Sundarraj,has gender,male
Gunasekaran Sundarraj,has occupation,assistant
Dieter Röh,has gender,male
Dieter Röh,has occupation,assistant
Heinrich IV. von Absberg,has gender,male
Heinrich IV. von Absberg,has occupation,assistant
Hui Yin-fat,has gender,male
Hui Yin-fat,has occupation,assistant
James Robertson,has gender,male
James Robertson,has occupation,assistant
Jagdish Kashibhai Patel,has gender,male
Jagdish Kashibhai Patel,has occupation,assistant
Johann Daniel von Gudenus,has gender,male
Johann Daniel von Gudenus,has occupation,assistant
Josep Capmany i Casamitjana,has gender,male
Josep Capmany i Casamitjana,has occupation,assistant
Irfan Alam,has gender,male
Irfan Alam,has occupation,assistant
Hermann Rademacker,has gender,male
Hermann Rademacker,has occupation,assistant
Thakkar Bapa,has gender,male
Thakkar Bapa,has occupation,assistant
Ivanil Francisco Moreno,has gender,male
Ivanil Francisco Moreno,has occupation,assistant
Narayan Sadoba Kajrolkar,has gender,male
Narayan Sadoba Kajrolkar,has occupation,assistant
Navid Jadidoleslam,has gender,male
Navid Jadidoleslam,has occupation,assistant
Siegfried Kosubek,has gender,male
Siegfried Kosubek,has occupation,assistant
Geraldo Lopes da Costa,has gender,male
Geraldo Lopes da Costa,has occupation,assistant
Leon Fulcher,has gender,male
Leon Fulcher,has occupation,assistant
Jacob Cherian,has gender,male
Jacob Cherian,has occupation,assistant
Johannes Schädler,has gender,male
Johannes Schädler,has occupation,assistant
Philip Bonn,has gender,male
Philip Bonn,has occupation,assistant
Norika Creuzmann,has gender,male
Norika Creuzmann,has occupation,assistant
Raimund von der Thannen,has gender,male
Raimund von der Thannen,has occupation,assistant
Linas Kukuraitis,has gender,male
Linas Kukuraitis,has occupation,assistant
Matt Amodio,has gender,male
Matt Amodio,has occupation,assistant
Józef Kazimierz Piątkowski,has gender,male
Józef Kazimierz Piątkowski,has occupation,assistant
Norbert Henke,has gender,male
Norbert Henke,has occupation,assistant
Dieter Niermann,has gender,male
Dieter Niermann,has occupation,assistant
Irshad Ibrahim,has gender,male
Irshad Ibrahim,has occupation,assistant
Ilona Lískovcová,has gender,female
Ilona Lískovcová,has occupation,assistant
Irene McCoy Gaines,has gender,female
Irene McCoy Gaines,has occupation,assistant
Lucie Pondělíčková,has gender,female
Lucie Pondělíčková,has occupation,assistant
Elizabeth Teles,has gender,female
Elizabeth Teles,has occupation,assistant
Sallie F. Chapin,has gender,female
Sallie F. Chapin,has occupation,assistant
Marie-Josèphe Courbet,has gender,female
Marie-Josèphe Courbet,has occupation,assistant
Tana Douglas,has gender,female
Tana Douglas,has occupation,assistant
Rose-Marie Hallynck,has gender,female
Rose-Marie Hallynck,has occupation,assistant
Rosilan Freitas Gouveia,has gender,female
Rosilan Freitas Gouveia,has occupation,assistant
Paule Duchesneau,has gender,female
Paule Duchesneau,has occupation,assistant
Eva Paprstkářová,has gender,female
Eva Paprstkářová,has occupation,assistant
Marie Bennett,has gender,female
Marie Bennett,has occupation,assistant
Barbara A. Lehner,has gender,female
Barbara A. Lehner,has occupation,assistant
Martha B. O'Donnell,has gender,female
Martha B. O'Donnell,has occupation,assistant
Minnie Hooper,has gender,female
Minnie Hooper,has occupation,assistant
Judith de Warren,has gender,female
Judith de Warren,has occupation,assistant
Nicole Zvoníčková,has gender,female
Nicole Zvoníčková,has occupation,assistant
Trish McLenachan,has gender,female
Trish McLenachan,has occupation,assistant
Barbara Lynn Staniforth,has gender,female
Barbara Lynn Staniforth,has occupation,assistant
Terri L. Wilder,has gender,female
Terri L. Wilder,has occupation,assistant
Avabai Bomanji Wadia,has gender,female
Avabai Bomanji Wadia,has occupation,assistant
Simona Noorenbergh,has gender,female
Simona Noorenbergh,has occupation,assistant
Janice L. Lindstrom,has gender,female
Janice L. Lindstrom,has occupation,assistant
Georgia Mabel DeBaptiste,has gender,female
Georgia Mabel DeBaptiste,has occupation,assistant
Petra Balážiová,has gender,female
Petra Balážiová,has occupation,assistant
Katherine Call Simonds,has gender,female
Katherine Call Simonds,has occupation,assistant
Miki Kuwazuru,has gender,female
Miki Kuwazuru,has occupation,assistant
Agnes Taaka,has gender,female
Agnes Taaka,has occupation,assistant
Fanny Ollendorff,has gender,female
Fanny Ollendorff,has occupation,assistant
Pakhshan Azizi,has gender,female
Pakhshan Azizi,has occupation,assistant
Conchita Peña Gallardo,has gender,female
Conchita Peña Gallardo,has occupation,assistant
Ida Laura Veldhuyzen van Zanten,has gender,female
Ida Laura Veldhuyzen van Zanten,has occupation,assistant
Michaela Hromková,has gender,female
Michaela Hromková,has occupation,assistant
Caitlin Ryan,has gender,female
Caitlin Ryan,has occupation,assistant
Willie Kirkpatrick Lindsay,has gender,female
Willie Kirkpatrick Lindsay,has occupation,assistant
Annie Belle,has gender,female
Annie Belle,has occupation,assistant
Annelie de Cabo y Moreda,has gender,female
Annelie de Cabo y Moreda,has occupation,assistant
Q120610063,has gender,female
Q120610063,has occupation,assistant
Kristina Aamand,has gender,female
Kristina Aamand,has occupation,assistant
Greta W. Stanton,has gender,female
Greta W. Stanton,has occupation,assistant
Carole Boulebsol,has gender,female
Carole Boulebsol,has occupation,assistant
Shelley Wark-Martyn,has gender,female
Shelley Wark-Martyn,has occupation,assistant
Q120596207,has gender,female
Q120596207,has occupation,assistant
Stephanie Stewart,has gender,female
Stephanie Stewart,has occupation,assistant
Kateřina Polanková,has gender,female
Kateřina Polanková,has occupation,assistant
Lúcia Xavier,has gender,female
Lúcia Xavier,has occupation,assistant
Ana María Surra Spadea,has gender,female
Ana María Surra Spadea,has occupation,assistant
Zora Mazálková,has gender,female
Zora Mazálková,has occupation,assistant
Else Falk,has gender,female
Else Falk,has occupation,assistant
Alva Forsius,has gender,female
Alva Forsius,has occupation,assistant
Zuzana Jiruchová,has gender,female
Zuzana Jiruchová,has occupation,assistant
Emma Hensgen,has gender,female
Emma Hensgen,has occupation,assistant
Connie J. Bonslagel,has gender,female
Connie J. Bonslagel,has occupation,assistant
Q124355593,has gender,female
Q124355593,has occupation,assistant
Jana Kocourková,has gender,female
Jana Kocourková,has occupation,assistant
Anne-Mieke Bremer,has gender,female
Anne-Mieke Bremer,has occupation,assistant
Marie Krakešová,has gender,female
Marie Krakešová,has occupation,assistant
Q120587778,has gender,female
Q120587778,has occupation,assistant
Ruth Jaffe,has gender,female
Ruth Jaffe,has occupation,assistant
Jette Bergenholz Bautrup,has gender,female
Jette Bergenholz Bautrup,has occupation,assistant
Radka Bužgová,has gender,female
Radka Bužgová,has occupation,assistant
Bohumila Hajšmanová,has gender,female
Bohumila Hajšmanová,has occupation,assistant
Virginie Souilliart,has gender,female
Virginie Souilliart,has occupation,assistant
Hana Rabenhauptová,has gender,female
Hana Rabenhauptová,has occupation,assistant
Jane Dalrymple,has gender,female
Jane Dalrymple,has occupation,assistant
Marie Hirzel,has gender,female
Marie Hirzel,has occupation,assistant
Margarete Baumgart,has gender,female
Margarete Baumgart,has occupation,assistant
Gisela Trautwein,has gender,female
Gisela Trautwein,has occupation,assistant
Carme Obradors i Domènech,has gender,female
Carme Obradors i Domènech,has occupation,assistant
Michelle Lefevre,has gender,female
Michelle Lefevre,has occupation,assistant
Julie Bagot,has gender,female
Julie Bagot,has occupation,assistant
Johanna Meynert,has gender,female
Johanna Meynert,has occupation,assistant
Eliza Gordon,has gender,female
Eliza Gordon,has occupation,assistant
Dorothea Crittenden,has gender,female
Dorothea Crittenden,has occupation,assistant
Alice Beal Baker Hyde,has gender,female
Alice Beal Baker Hyde,has occupation,assistant
Hazel Monteith,has gender,female
Hazel Monteith,has occupation,assistant
Camille Consuegra Bordon Carletti de Oliveira,has gender,female
Camille Consuegra Bordon Carletti de Oliveira,has occupation,assistant
Kathryn Wood,has gender,female
Kathryn Wood,has occupation,assistant
Guadalupe Campanur Tapia,has gender,female
Guadalupe Campanur Tapia,has occupation,assistant
Deborah Knox Livingston,has gender,female
Deborah Knox Livingston,has occupation,assistant
Kateřina Hlubučková,has gender,female
Kateřina Hlubučková,has occupation,assistant
Graziella Pierini,has gender,female
Graziella Pierini,has occupation,assistant
Agathe Fessler,has gender,female
Agathe Fessler,has occupation,assistant
Meredith Hemphill,has gender,female
Meredith Hemphill,has occupation,assistant
Franciely,has gender,female
Franciely,has occupation,assistant
Sabina Zdráhalová,has gender,female
Sabina Zdráhalová,has occupation,assistant
Mary L. Mallett,has gender,female
Mary L. Mallett,has occupation,assistant
Jane Morrow Spaulding,has gender,female
Jane Morrow Spaulding,has occupation,assistant
Margaret Brennan,has gender,female
Margaret Brennan,has occupation,assistant
Florence Kato,has gender,female
Florence Kato,has occupation,assistant
Brenda Shanahan,has gender,female
Brenda Shanahan,has occupation,assistant
Sabine Prochazka,has gender,female
Sabine Prochazka,has occupation,assistant
Costanza Caracciolo,has gender,female
Costanza Caracciolo,has occupation,assistant
Elizabeth Eunice Smith Marcy,has gender,female
Elizabeth Eunice Smith Marcy,has occupation,assistant
R.C. Musaph-Andriesse,has gender,female
R.C. Musaph-Andriesse,has occupation,assistant
Elizabeth Haldane,has gender,female
Elizabeth Haldane,has occupation,assistant
Lucie Zormanová,has gender,female
Lucie Zormanová,has occupation,assistant
Elza Alves Pereira e Pereira,has gender,female
Elza Alves Pereira e Pereira,has occupation,assistant
Judith Seidman,has gender,female
Judith Seidman,has occupation,assistant
Libbie Higgins,has gender,female
Libbie Higgins,has occupation,assistant
Julie Wald,has gender,female
Julie Wald,has occupation,assistant
Beth Gleeson,has gender,female
Beth Gleeson,has occupation,assistant
Rosa Rachel Schwarz,has gender,female
