subject,relation,object
Richárd Horinka,has occupation,cashier
Takeshi Ōnishi,has gender,male
Takeshi Ōnishi,has occupation,cashier
Marie A. Detrick,has gender,female
Marie A. Detrick,has occupation,cashier
Clara Almánzar,has gender,female
Clara Almánzar,has occupation,cashier
Clémence Roy,has gender,female
Clémence Roy,has occupation,cashier
Amir Ashkenazi,has gender,male
Amir Ashkenazi,has occupation,ceo
Peter Njonjo,has gender,male
Peter Njonjo,has occupation,ceo
Dukagjin Lipa,has gender,male
Dukagjin Lipa,has occupation,ceo
Emanuel Sharon,has gender,male
Emanuel Sharon,has occupation,ceo
Thomas Dohmke,has gender,male
Thomas Dohmke,has occupation,ceo
Pascal Isoard-Thomas,has gender,male
Pascal Isoard-Thomas,has occupation,ceo
Ravit Barniv,has gender,female
Ravit Barniv,has occupation,ceo
Jeanette Aaen,has gender,female
Jeanette Aaen,has occupation,ceo
Ronnie Woo Woo,has gender,male
Ronnie Woo Woo,has occupation,cleaner
Nilton Donizeti da Silva,has gender,male
Nilton Donizeti da Silva,has occupation,cleaner
Jürgen Herzing,has gender,male
Jürgen Herzing,has occupation,cleaner
Bert Brown,has gender,male
Bert Brown,has occupation,cleaner
Watty Borthwick,has gender,male
Watty Borthwick,has occupation,cleaner
Andy Burton,has gender,male
Andy Burton,has occupation,cleaner
Frieda Mager,has gender,female
Frieda Mager,has occupation,cleaner
Victoria Hughes,has gender,female
Victoria Hughes,has occupation,cleaner
Cheta Nwanze,has gender,male
Cheta Nwanze,has occupation,clerk
Cradock Newton,has gender,male
Cradock Newton,has occupation,clerk
Vittorio Bargioni,has gender,male
Vittorio Bargioni,has occupation,clerk
Takanori Sakata,has gender,male
Takanori Sakata,has occupation,clerk
Michael Joseph Schultes,has gender,male
Michael Joseph Schultes,has occupation,clerk
Yaakov Paskovitz,has gender,male
Yaakov Paskovitz,has occupation,clerk
Pasha Leberfeld,has gender,female
Pasha Leberfeld,has occupation,clerk
Solimar Silva,has gender,female
Solimar Silva,has occupation,clerk
Jaroslav Kovář starší,has gender,male
Jaroslav Kovář starší,has occupation,construction_worker
John Parry,has gender,male
John Parry,has occupation,construction_worker
Axel Schultz-Gora,has gender,male
Axel Schultz-Gora,has occupation,construction_worker
Bodo Küttler,has gender,male
Bodo Küttler,has occupation,construction_worker
Peter Robert Whitfield Sr.,has gender,male
Peter Robert Whitfield Sr.,has occupation,construction_worker
Hans Locher,has gender,male
Hans Locher,has occupation,construction_worker
Devanir Martins,has gender,male
Devanir Martins,has occupation,construction_worker
Johann Gottlob Brendel,has gender,male
Johann Gottlob Brendel,has occupation,construction_worker
Hans Stucki,has gender,male
Hans Stucki,has occupation,cook
Cándido López Sanz,has gender,male
Cándido López Sanz,has occupation,cook
Simone Rugiati,has gender,male
Simone Rugiati,has occupation,cook
Grzegorz Łapanowski,has gender,male
Grzegorz Łapanowski,has occupation,cook
Dennis Leary,has gender,male
Dennis Leary,has occupation,cook
Wilhelm Visintainer,has gender,male
Wilhelm Visintainer,has occupation,cook
Renée Voltaire,has gender,female
Renée Voltaire,has occupation,cook
Jenny Dorsey,has gender,female
Jenny Dorsey,has occupation,cook
Jindřich Halama,has gender,male
Jindřich Halama,has occupation,counselor
Germain Dusausoy,has gender,male
Germain Dusausoy,has occupation,counselor
Jerome Brutsaert,has gender,male
Jerome Brutsaert,has occupation,counselor
Johan Joseph Faict,has gender,male
Johan Joseph Faict,has occupation,counselor
Carolus Van Volxem,has gender,male
Carolus Van Volxem,has occupation,counselor
Jozef Homans,has gender,male
Jozef Homans,has occupation,counselor
Naina Athale,has gender,female
Naina Athale,has occupation,counselor
Susan Crozier,has gender,female
Susan Crozier,has occupation,counselor
Xanti Schawinsky,has gender,male
Xanti Schawinsky,has occupation,designer
Carl Ernst Kropp,has gender,male
Carl Ernst Kropp,has occupation,designer
Phil Janze,has gender,male
Phil Janze,has occupation,designer
Robert Schwarz,has gender,male
Robert Schwarz,has occupation,designer
Hendricus Johannes Alexis Nieberg,has gender,male
Hendricus Johannes Alexis Nieberg,has occupation,designer
Ben Drury,has gender,male
Ben Drury,has occupation,designer
Svalte Stridbeck,has gender,male
Svalte Stridbeck,has occupation,designer
Anne Desmet,has gender,female
Anne Desmet,has occupation,designer
Zinhor Nasri,has gender,male
Zinhor Nasri,has occupation,developer
Pavel Mžourek,has gender,male
Pavel Mžourek,has occupation,developer
Dmitry Lozinsky,has gender,male
Dmitry Lozinsky,has occupation,developer
Shawn Bayern,has gender,male
Shawn Bayern,has occupation,developer
Peter Oliphant,has gender,male
Peter Oliphant,has occupation,developer
Xavier Leroy,has gender,male
Xavier Leroy,has occupation,developer
James Gross,has gender,male
James Gross,has occupation,developer
Arielle Gordon,has gender,female
Arielle Gordon,has occupation,developer
Sven Verbrugge,has gender,male
Sven Verbrugge,has occupation,driver
Thomas Bieberbach,has gender,male
Thomas Bieberbach,has occupation,driver
Q60987228,has gender,male
Q60987228,has occupation,driver
Richard Hofmann,has gender,male
Richard Hofmann,has occupation,driver
Edward John Morrison,has gender,male
Edward John Morrison,has occupation,driver
Takashi Toda,has gender,male
Takashi Toda,has occupation,driver
Sergey Agapov,has gender,male
Sergey Agapov,has occupation,driver
Magnus Karlsson,has gender,male
Magnus Karlsson,has occupation,driver
Per-Arne Bjerke,has gender,male
Per-Arne Bjerke,has occupation,editor
Odd Egil Valderhaug,has gender,male
Odd Egil Valderhaug,has occupation,editor
Honza Musil,has gender,male
Honza Musil,has occupation,editor
Hrant Devejyan,has gender,male
Hrant Devejyan,has occupation,editor
Charles Levin,has gender,male
Charles Levin,has occupation,editor
Jiří Cieslar,has gender,male
Jiří Cieslar,has occupation,editor
Alois Adam,has gender,male
Alois Adam,has occupation,editor
Maria Helena Schmidt,has gender,female
Maria Helena Schmidt,has occupation,editor
Elliot Lillico,has gender,male
Elliot Lillico,has occupation,farmer
Muhammed edh-Dhib,has gender,male
Muhammed edh-Dhib,has occupation,farmer
Jean-Baptiste Van Mons,has gender,male
Jean-Baptiste Van Mons,has occupation,farmer
Claude Martin Roblin,has gender,male
Claude Martin Roblin,has occupation,farmer
Sebastian Binz,has gender,male
Sebastian Binz,has occupation,farmer
David Armitage Bannerman,has gender,male
David Armitage Bannerman,has occupation,farmer
Manda Klancir,has gender,female
Manda Klancir,has occupation,farmer
Jo Sanghi,has gender,female
Jo Sanghi,has occupation,farmer
Josef Vacek,has gender,male
Josef Vacek,has occupation,hairdresser
Adam A. Schjølberg,has gender,male
Adam A. Schjølberg,has occupation,hairdresser
Ricard Simó i Bach,has gender,male
Ricard Simó i Bach,has occupation,hairdresser
Frank Padilha,has gender,male
Frank Padilha,has occupation,hairdresser
Jose Solano de Oliveira,has gender,male
Jose Solano de Oliveira,has occupation,hairdresser
Amira Pocher,has gender,female
Amira Pocher,has occupation,hairdresser
Katrin Wahlberg,has gender,female
Katrin Wahlberg,has occupation,hairdresser
Tirzah Strässle,has gender,female
Tirzah Strässle,has occupation,hairdresser
Felicia Dorothea Kate Dover,has gender,female
Felicia Dorothea Kate Dover,has occupation,housekeeper
Emma Bruch,has gender,female
Emma Bruch,has occupation,housekeeper
Clara Dijkstra,has gender,female
Clara Dijkstra,has occupation,housekeeper
Pieternella Kwikkers,has gender,female
Pieternella Kwikkers,has occupation,housekeeper
Elizabeth Rasmussen Sundberg,has gender,female
Elizabeth Rasmussen Sundberg,has occupation,housekeeper
Helene Demuth,has gender,female
Helene Demuth,has occupation,housekeeper
Mária Kovács,has gender,female
Mária Kovács,has occupation,housekeeper
Grethe Schmidt,has gender,female
Grethe Schmidt,has occupation,housekeeper
Robert Menge,has gender,male
Robert Menge,has occupation,janitor
Giuseppe Garibaldi,has gender,male
Giuseppe Garibaldi,has occupation,janitor
Sven Gustaf Hellström,has gender,male
Sven Gustaf Hellström,has occupation,janitor
Louis Müller,has gender,male
Louis Müller,has occupation,janitor
Johannes Seifert,has gender,male
Johannes Seifert,has occupation,janitor
Hermann Schöpf,has gender,male
Hermann Schöpf,has occupation,janitor
Rosa Maria da Silva,has gender,female
Rosa Maria da Silva,has occupation,janitor
Daniel (Mansson) Ekman,has gender,male
Daniel (Mansson) Ekman,has occupation,laborer
Fritz Wilhelm Reisgies,has gender,male
Fritz Wilhelm Reisgies,has occupation,laborer
Lewin Dedeke,has gender,male
Lewin Dedeke,has occupation,laborer
Q120614595,has gender,male
Q120614595,has occupation,laborer
Thomas Germain,has gender,male
Thomas Germain,has occupation,laborer
Konstantin Krjukov,has gender,male
Konstantin Krjukov,has occupation,laborer
Antonio Arrabal,has gender,male
Antonio Arrabal,has occupation,laborer
Anette Mülbaier,has gender,female
Anette Mülbaier,has occupation,laborer
Eric Cantor,has gender,male
Eric Cantor,has occupation,lawyer
José Calvo Sotelo,has gender,male
José Calvo Sotelo,has occupation,lawyer
Andreas Stoch,has gender,male
Andreas Stoch,has occupation,lawyer
Juho Kusti Paasikivi,has gender,male
Juho Kusti Paasikivi,has occupation,lawyer
Michael M. Wood,has gender,male
Michael M. Wood,has occupation,lawyer
Kōjirō Nishimura,has gender,male
Kōjirō Nishimura,has occupation,lawyer
Gordon H. Smith,has gender,male
Gordon H. Smith,has occupation,lawyer
Isabelle Ameganvi,has gender,female
Isabelle Ameganvi,has occupation,lawyer
Ludwig Greve,has gender,male
Ludwig Greve,has occupation,librarian
Harald Strätz,has gender,male
Harald Strätz,has occupation,librarian
Hugo Blotius,has gender,male
Hugo Blotius,has occupation,librarian
Eugene Bouvy,has gender,male
Eugene Bouvy,has occupation,librarian
Friedrich Zoepfl,has gender,male
Friedrich Zoepfl,has occupation,librarian
Lubomír Emil Havlík,has gender,male
Lubomír Emil Havlík,has occupation,librarian
Alice Lougee Hagemeyer,has gender,female
Alice Lougee Hagemeyer,has occupation,librarian
Dorthe Refslund Christensen,has gender,female
Dorthe Refslund Christensen,has occupation,librarian
Pere Estelrich Massutí,has gender,male
Pere Estelrich Massutí,has occupation,manager
Pier Marco De Santi,has gender,male
Pier Marco De Santi,has occupation,manager
Lewis J. Rachmil,has gender,male
Lewis J. Rachmil,has occupation,manager
J. V. Ronimus,has gender,male
J. V. Ronimus,has occupation,manager
Vladimir Lifanov,has gender,male
Vladimir Lifanov,has occupation,manager
Karl Kauermann,has gender,male
Karl Kauermann,has occupation,manager
Bella French,has gender,female
Bella French,has occupation,manager
Livia Borgognoni,has gender,female
Livia Borgognoni,has occupation,manager
Gottfried Hörndli,has gender,male
Gottfried Hörndli,has occupation,mechanic
Edilson,has gender,male
Edilson,has occupation,mechanic
Tor Harald Lund,has gender,male
Tor Harald Lund,has occupation,mechanic
Henryk Cichowski,has gender,male
Henryk Cichowski,has occupation,mechanic
Joseph Clement,has gender,male
Joseph Clement,has occupation,mechanic
Alford Gardner,has gender,male
Alford Gardner,has occupation,mechanic
Akseli Leppänen,has gender,male
Akseli Leppänen,has occupation,mechanic
Karl George Granse,has gender,male
Karl George Granse,has occupation,mechanic
Thomas Campbell,has gender,male
Thomas Campbell,has occupation,mover
Little Karim,has gender,male
Little Karim,has occupation,mover
Zaro Aga,has gender,male
Zaro Aga,has occupation,mover
James Crowther,has gender,male
James Crowther,has occupation,mover
Richard Russell,has gender,male
Richard Russell,has occupation,mover
Ryan Ulrich,has gender,male
Ryan Ulrich,has occupation,mover
Jonas Dotsch,has gender,male
Jonas Dotsch,has occupation,mover
Anna S. Vaughn,has gender,female
Anna S. Vaughn,has occupation,mover
Amor Padilla Gatinao,has gender,male
Amor Padilla Gatinao,has occupation,nurse
Rabiah Panthupeng,has gender,female
Rabiah Panthupeng,has occupation,nurse
Caroline Burghardt,has gender,female
Caroline Burghardt,has occupation,nurse
Midori Kagawa,has gender,female
Midori Kagawa,has occupation,nurse
Maud McCarthy,has gender,female
Maud McCarthy,has occupation,nurse
Patricia A. Potter,has gender,female
Patricia A. Potter,has occupation,nurse
Lenka Bocková,has gender,female
Lenka Bocková,has occupation,nurse
Stefania Boccia,has gender,female
Stefania Boccia,has occupation,nurse
Edward Coleman,has gender,male
Edward Coleman,has occupation,physician
Julij Ivanovič Afanas'jev,has gender,male
Julij Ivanovič Afanas'jev,has occupation,physician
Erich Franz Eugen Bracht,has gender,male
Erich Franz Eugen Bracht,has occupation,physician
Klaus Schneewind,has gender,male
Klaus Schneewind,has occupation,physician
Abraham Buschke,has gender,male
Abraham Buschke,has occupation,physician
Július Gajdoš,has gender,male
Július Gajdoš,has occupation,physician
Kara K. Siegrist,has gender,female
Kara K. Siegrist,has occupation,physician
Jaroslava Vaněčková,has gender,female
Jaroslava Vaněčková,has occupation,physician
Rafly Rahamat,has gender,male
Rafly Rahamat,has occupation,receptionist
Marcio Rogerio Leite,has gender,male
Marcio Rogerio Leite,has occupation,receptionist
Neide Galvão do Amaral,has gender,female
Neide Galvão do Amaral,has occupation,receptionist
Amanda Forde,has gender,female
Amanda Forde,has occupation,receptionist
Jana Schindlerová,has gender,female
Jana Schindlerová,has occupation,receptionist
Sabrina Lourenço Viziack,has gender,female
Sabrina Lourenço Viziack,has occupation,receptionist
Lucia Helena da Silva Alves,has gender,female
Lucia Helena da Silva Alves,has occupation,receptionist
Magda Łuczycki,has gender,female
Magda Łuczycki,has occupation,receptionist
Jean-Jacques Clément,has gender,male
Jean-Jacques Clément,has occupation,salesperson
Georges Jacquot,has gender,male
Georges Jacquot,has occupation,salesperson
Carl Fredrik Akrell,has gender,male
Carl Fredrik Akrell,has occupation,salesperson
Henrik Wilhelm,has gender,male
Henrik Wilhelm,has occupation,salesperson
Henry Hyde,has gender,male
Henry Hyde,has occupation,salesperson
Q. David Bowers,has gender,male
Q. David Bowers,has occupation,salesperson
Hendrick Danckerts,has gender,male
Hendrick Danckerts,has occupation,salesperson
Roser Agell i Cisa,has gender,female
Roser Agell i Cisa,has occupation,salesperson
Paul Letsch,has gender,male
Paul Letsch,has occupation,secretary
James Lister,has gender,male
James Lister,has occupation,secretary
Hirofumi Matsui,has gender,male
Hirofumi Matsui,has occupation,secretary
Francis Dereham,has gender,male
Francis Dereham,has occupation,secretary
Jacob W. Prout,has gender,male
Jacob W. Prout,has occupation,secretary
Ilse Birkholz,has gender,female
Ilse Birkholz,has occupation,secretary
Fidela Zalakain Salaberria,has gender,female
Fidela Zalakain Salaberria,has occupation,secretary
Karin Derpa,has gender,female
Karin Derpa,has occupation,secretary
William George Scott-Moncreiff,has gender,male
William George Scott-Moncreiff,has occupation,sheriff
Henry P. Larrabee,has gender,male
Henry P. Larrabee,has occupation,sheriff
Aaron Burr Rollins,has gender,male
Aaron Burr Rollins,has occupation,sheriff
Mike Bouchard,has gender,male
Mike Bouchard,has occupation,sheriff
Robert Greirson,has gender,male
Robert Greirson,has occupation,sheriff
Laurence Bruce,has gender,male
Laurence Bruce,has occupation,sheriff
Littlepage Sims,has gender,male
Littlepage Sims,has occupation,sheriff
"Edna ""Dolly"" Kyle",has gender,female
"Edna ""Dolly"" Kyle",has occupation,sheriff
Anders Hilden,has gender,male
Anders Hilden,has occupation,supervisor
Heinrich Schramm,has gender,male
Heinrich Schramm,has occupation,supervisor
Joplin Sibtain,has gender,male
Joplin Sibtain,has occupation,supervisor
Friedrich Christoph Wilhelm von Unruh,has gender,male
Friedrich Christoph Wilhelm von Unruh,has occupation,supervisor
Evgenij Aunapuu,has gender,male
Evgenij Aunapuu,has occupation,supervisor
Ulrich von Kinsky und Tettau,has gender,male
Ulrich von Kinsky und Tettau,has occupation,supervisor
Sylvain Neugebauer,has gender,male
Sylvain Neugebauer,has occupation,supervisor
Ting Sue,has gender,female
Ting Sue,has occupation,supervisor
Romeo Gigli,has gender,male
Romeo Gigli,has occupation,tailor
Jan Willem Vlastuin,has gender,male
Jan Willem Vlastuin,has occupation,tailor
Sheikh Noor Muhammad,has gender,male
Sheikh Noor Muhammad,has occupation,tailor
Mykola Khvyl,has gender,male
Mykola Khvyl,has occupation,tailor
Nina Reichmann,has gender,female
Nina Reichmann,has occupation,tailor
Helga I. Stefánsdóttir,has gender,female
Helga I. Stefánsdóttir,has occupation,tailor
Sylvie Gautrelet,has gender,female
Sylvie Gautrelet,has occupation,tailor
Hella de Jonge,has gender,female
Hella de Jonge,has occupation,tailor
Jacques Berthelot,has gender,male
Jacques Berthelot,has occupation,teacher
Bhagavān Dāsa Gosvāmī,has gender,male
Bhagavān Dāsa Gosvāmī,has occupation,teacher
Per Otnes,has gender,male
Per Otnes,has occupation,teacher
Kurt Swet,has gender,male
Kurt Swet,has occupation,teacher
Stanisław Sedlaczek,has gender,male
Stanisław Sedlaczek,has occupation,teacher
Harley M. Kilgore,has gender,male
Harley M. Kilgore,has occupation,teacher
Merike Kaste,has gender,female
Merike Kaste,has occupation,teacher
Diane Averill,has gender,female
Diane Averill,has occupation,teacher
George Mikes,has gender,male
George Mikes,has occupation,writer
Jean-Joseph Boillot,has gender,male
Jean-Joseph Boillot,has occupation,writer
Konrad Krez,has gender,male
Konrad Krez,has occupation,writer
David Kalisch,has gender,male
David Kalisch,has occupation,writer
John Steinbeck,has gender,male
John Steinbeck,has occupation,writer
Payo Gómez Chariño,has gender,male
Payo Gómez Chariño,has occupation,writer
Paul de Lagarde,has gender,male
Paul de Lagarde,has occupation,writer
Mechtilde,has gender,female
Mechtilde,has occupation,writer
